folder,word,image_url
Root,yes,/symbols/mulberry/correct.svg
Root,no,/symbols/mulberry/no.svg
quick chat,yes,/symbols/mulberry/correct.svg
quick chat,no,/symbols/mulberry/no.svg
quick chat,hello,/symbols/mulberry/hello.svg
quick chat,goodbye,/symbols/arasaac/goodbye.png
quick chat,good,/symbols/mulberry/good.svg
quick chat,bad,/symbols/mulberry/bad.svg
quick chat,I can't speak,/symbols/mulberry/non_speaking.svg
quick chat,thank you,/symbols/arasaac/thanks.png
quick chat,please,/symbols/arasaac/please.png
time,time,/symbols/mulberry/clock.svg
time,now,/symbols/mulberry/now.svg
time,yesterday,/symbols/mulberry/yesterday.svg
time,today,/symbols/mulberry/today.svg
time,tomorrow,/symbols/mulberry/tomorrow.svg
time,morning,/symbols/mulberry/morning.svg
time,afternoon,/symbols/mulberry/afternoon.svg
time,night,/symbols/mulberry/night.svg
time,day,/symbols/mulberry/day.svg
time,this week,/symbols/mulberry/this_week.svg
time,weekend,/symbols/mulberry/weekend.svg
time,next week,/symbols/mulberry/next_week.svg
time,this month,/symbols/mulberry/this_month.svg
time,next month,/symbols/mulberry/next_month.svg
time,last month,/symbols/mulberry/last_month.svg
time,one hour,/symbols/mulberry/one_hour.svg
time,minute,/symbols/mulberry/minute.svg
time,second,/symbols/mulberry/second.svg
food,I'm hungry,/symbols/mulberry/hungry.svg
food,I want,"/symbols/mulberry/want_,_to.svg"
food,and,/symbols/arasaac/ampersand.png
food,I dislike,/symbols/mulberry/bad.svg
food > soup,soup,/symbols/mulberry/soup.svg
food > soup,carrot soup,/symbols/mulberry/carrot_soup.svg
food > soup,chicken soup,/symbols/mulberry/chicken_soup.svg
food > soup,mushroom soup,/symbols/mulberry/mushroom_soup.svg
food > soup,onion soup,/symbols/mulberry/onion_soup.svg
food > soup,pea soup,/symbols/mulberry/pea_soup.svg
food > soup,tomato soup,/symbols/mulberry/tomato_soup.svg
food > soup,vegetable soup,/symbols/mulberry/vegetable_soup.svg
food > vegetables,vegetables,/symbols/mulberry/vegetables.svg
food > vegetables,salad,/symbols/mulberry/salad.svg
food > vegetables,potato,/symbols/mulberry/potato.svg
food > vegetables,mash potato,/symbols/mulberry/mash_potato_1.svg
food > vegetables,sweet potato,/symbols/mulberry/sweet_potato.svg
food > vegetables,rice,/symbols/mulberry/rice.svg
food > vegetables,baked beans,/symbols/mulberry/baked_beans_2.svg
food > vegetables,sweetcorn,/symbols/mulberry/sweetcorn.svg
food > vegetables,beetroot,/symbols/mulberry/beetroot.svg
food > vegetables,carrot,/symbols/mulberry/carrot.svg
food > vegetables,tomato,/symbols/mulberry/tomato.svg
food > vegetables,cucumber,/symbols/mulberry/cucumber.svg
food > vegetables,cabbage,/symbols/mulberry/cabbage.svg
food > vegetables,onion,/symbols/mulberry/onion.svg
food > vegetables,spring onions,/symbols/mulberry/spring_onions.svg
food > vegetables,pepper,/symbols/mulberry/pepper.svg
food > vegetables,chilli pepper,/symbols/mulberry/chilli_pepper.svg
food > vegetables,lettuce,/symbols/mulberry/lettuce.svg
food > vegetables,asparagus,/symbols/mulberry/asparagus.svg
food > vegetables,radish,/symbols/mulberry/radish.svg
food > vegetables,aubergine,/symbols/mulberry/aubergine.svg
food > vegetables,broccoli,/symbols/mulberry/broccoli.svg
food > vegetables,peas,/symbols/mulberry/peas.svg
food > vegetables,avocado,/symbols/mulberry/avocado.svg
food > vegetables,green beans,/symbols/mulberry/green_beans.svg
food > vegetables,spinach,/symbols/mulberry/spinach.svg
food > vegetables,pumpkin,/symbols/mulberry/pumpkin.svg
