category,name_en,image_url
core,yes,/symbols/mulberry/correct.svg
core,no,/symbols/mulberry/no.svg
core,hello,/symbols/mulberry/hello.svg
core,goodbye,/symbols/arasaac/goodbye.png
core,good,/symbols/mulberry/good.svg
core,bad,/symbols/mulberry/bad.svg
core,I can't speak,/symbols/mulberry/non_speaking.svg
core,thank you,/symbols/arasaac/thanks.png
core,please,/symbols/arasaac/please.png
topic,time,/symbols/mulberry/clock.svg
topic,now,/symbols/mulberry/now.svg
topic,yesterday,/symbols/mulberry/yesterday.svg
topic,today,/symbols/mulberry/today.svg
topic,tomorrow,/symbols/mulberry/tomorrow.svg
topic,morning,/symbols/mulberry/morning.svg
topic,afternoon,/symbols/mulberry/afternoon.svg
topic,night,/symbols/mulberry/night.svg
topic,day,/symbols/mulberry/day.svg
topic,this week,/symbols/mulberry/this_week.svg
topic,weekend,/symbols/mulberry/weekend.svg
topic,next week,/symbols/mulberry/next_week.svg
topic,this month,/symbols/mulberry/this_month.svg
topic,next month,/symbols/mulberry/next_month.svg
topic,last month,/symbols/mulberry/last_month.svg
topic,one hour,/symbols/mulberry/one_hour.svg
topic,minute,/symbols/mulberry/minute.svg
topic,second,/symbols/mulberry/second.svg
topic,I'm hungry,/symbols/mulberry/hungry.svg
topic,I want,"/symbols/mulberry/want_,_to.svg"
topic,and,/symbols/arasaac/ampersand.png
topic,I dislike,/symbols/mulberry/bad.svg
topic,soup,/symbols/mulberry/soup.svg
topic,carrot soup,/symbols/mulberry/carrot_soup.svg
topic,chicken soup,/symbols/mulberry/chicken_soup.svg
topic,mushroom soup,/symbols/mulberry/mushroom_soup.svg
topic,onion soup,/symbols/mulberry/onion_soup.svg
topic,pea soup,/symbols/mulberry/pea_soup.svg
topic,tomato soup,/symbols/mulberry/tomato_soup.svg
topic,vegetable soup,/symbols/mulberry/vegetable_soup.svg
topic,vegetables,/symbols/mulberry/vegetables.svg
topic,salad,/symbols/mulberry/salad.svg
topic,potato,/symbols/mulberry/potato.svg
topic,mash potato,/symbols/mulberry/mash_potato_1.svg
topic,sweet potato,/symbols/mulberry/sweet_potato.svg
topic,rice,/symbols/mulberry/rice.svg
topic,baked beans,/symbols/mulberry/baked_beans_2.svg
topic,sweetcorn,/symbols/mulberry/sweetcorn.svg
topic,beetroot,/symbols/mulberry/beetroot.svg
topic,carrot,/symbols/mulberry/carrot.svg
topic,tomato,/symbols/mulberry/tomato.svg
topic,cucumber,/symbols/mulberry/cucumber.svg
topic,cabbage,/symbols/mulberry/cabbage.svg
topic,onion,/symbols/mulberry/onion.svg
topic,spring onions,/symbols/mulberry/spring_onions.svg
topic,pepper,/symbols/mulberry/pepper.svg
topic,chilli pepper,/symbols/mulberry/chilli_pepper.svg
topic,lettuce,/symbols/mulberry/lettuce.svg
topic,asparagus,/symbols/mulberry/asparagus.svg
topic,radish,/symbols/mulberry/radish.svg
topic,aubergine,/symbols/mulberry/aubergine.svg
topic,broccoli,/symbols/mulberry/broccoli.svg
topic,peas,/symbols/mulberry/peas.svg
topic,avocado,/symbols/mulberry/avocado.svg
topic,green beans,/symbols/mulberry/green_beans.svg
topic,spinach,/symbols/mulberry/spinach.svg
topic,pumpkin,/symbols/mulberry/pumpkin.svg
topic,brussel sprouts,/symbols/mulberry/brussel_sprouts.svg
topic,strawberry,/symbols/mulberry/strawberry.svg
topic,apple,/symbols/mulberry/apple.svg
topic,apricot,/symbols/mulberry/apricot.svg
topic,peach,/symbols/mulberry/peach.svg
topic,mango,/symbols/mulberry/mango.svg
topic,pear,/symbols/mulberry/pear.svg
topic,orange,/symbols/mulberry/orange.svg
topic,melon,/symbols/mulberry/melon.svg
topic,banana,/symbols/mulberry/banana.svg
topic,kiwi,/symbols/mulberry/kiwi.svg
topic,pineapple,/symbols/mulberry/pineapple.svg
topic,watermelon,/symbols/mulberry/watermelon.svg
topic,cherry,/symbols/mulberry/cherry.svg
topic,grapefruit,/symbols/mulberry/grapefruit.svg
topic,grapes,/symbols/mulberry/grapes.svg
topic,pizza,/symbols/mulberry/pizza_2.svg
topic,bread,/symbols/mulberry/bread.svg
topic,boiled egg,/symbols/mulberry/boiled_egg.svg
topic,fried egg,/symbols/mulberry/fried_egg.svg
topic,croissant,/symbols/mulberry/croissant.svg
topic,cereal,/symbols/mulberry/cereal.svg
topic,porridge,/symbols/mulberry/porridge.svg
topic,pancakes,/symbols/mulberry/pancakes.svg
topic,pasta,/symbols/mulberry/pasta.svg
topic,poultry,/symbols/mulberry/poultry.svg
topic,beef,/symbols/mulberry/beef.svg
topic,fish,/symbols/mulberry/fish.svg
topic,spaghetti bolognaise,/symbols/mulberry/spaghetti_bolognaise.svg
topic,hamburger,/symbols/mulberry/hamburger.svg
topic,hot dog,/symbols/mulberry/hot_dog.svg
topic,pie,/symbols/mulberry/pie.svg
topic,pepper mill,/symbols/mulberry/pepper_mill.svg
topic,salt,/symbols/mulberry/salt.svg
topic,tomato sauce,/symbols/mulberry/tomato_sauce.svg
topic,vinegar,/symbols/mulberry/vinegar.svg
topic,sandwich,/symbols/mulberry/sandwich.svg
topic,bagel,/symbols/mulberry/bagel_2.svg
topic,toast,/symbols/mulberry/toast.svg
topic,cheese,/symbols/mulberry/cheese.svg
topic,noodles,/symbols/mulberry/noodles.svg
topic,chips,/symbols/mulberry/chips.svg
topic,I'm thirsty,/symbols/mulberry/thirsty.svg
topic,drink,/symbols/mulberry/drink.svg
topic,water,/symbols/mulberry/water.svg
topic,orange juice,/symbols/mulberry/orange_juice.svg
topic,apple juice,/symbols/mulberry/apple_juice.svg
topic,grape juice,/symbols/mulberry/grape_juice.svg
topic,cranberry juice,/symbols/mulberry/cranberry_juice.svg
topic,pineapple juice,/symbols/mulberry/pineapple_juice.svg
topic,lemonade,/symbols/mulberry/lemonade.svg
topic,milk,/symbols/mulberry/milk.svg
topic,milkshake,/symbols/mulberry/milkshake.svg
topic,hot chocolate,/symbols/mulberry/hot_chocolate.svg
