word,category,folder,mulberry_file,status
drama,topic,school,drama.svg,search-only; not in the model vocabulary
yummy,topic,food,yummy.svg,search-only; not in the model vocabulary
medal,topic,sports,medal.svg,search-only; not in the model vocabulary
jam,topic,food,jam.svg,search-only; not in the model vocabulary
dial,action,actions,"dial_,_to.svg",search-only; not in the model vocabulary
celebration,topic,activities,celebration.svg,search-only; not in the model vocabulary
chop,action,actions,"chop_,_to.svg",search-only; not in the model vocabulary
hike,action,actions,"hike_,_to.svg",search-only; not in the model vocabulary
sew,action,actions,"sew_,_to.svg",search-only; not in the model vocabulary
grandparents,topic,people,grandparents.svg,search-only; not in the model vocabulary
tap,topic,hygiene,tap.svg,search-only; not in the model vocabulary
seventy,topic,numbers,seventy.svg,search-only; not in the model vocabulary
parade,topic,activities,parade_1.svg,search-only; not in the model vocabulary
ninety,topic,numbers,ninety.svg,search-only; not in the model vocabulary
opposite,topic,position,opposite.svg,search-only; not in the model vocabulary
inbox,topic,technology,inbox.svg,search-only; not in the model vocabulary
flip,action,actions,"flip_,_to.svg",search-only; not in the model vocabulary
fasten,action,actions,"fasten_,_to.svg",search-only; not in the model vocabulary
certificate,topic,school,certificate.svg,search-only; not in the model vocabulary
against,topic,position,against.svg,search-only; not in the model vocabulary
temple,topic,body,temple.svg,search-only; not in the model vocabulary
fuzzy,topic,describe,fuzzy.svg,search-only; not in the model vocabulary
cigarette,topic,activities,cigarette.svg,search-only; not in the model vocabulary
