word,corpus_misses,mulberry_category,grammar
drama,18,Work and School Subjects,Noun
yummy,14,Food Feeding and eating,Noun
medal,10,Sport Accessories,Noun
jam,10,Food Sweets and desserts,Noun
dial,8,Verb,Verb
celebration,8,Celebration Event,Noun
chop,6,Food Kitchen actions,Verb
hike,5,Verb,Verb
sew,4,Verb,Verb
grandparents,4,People Relationship,Noun
tap,3,Healthcare Grooming items,Noun
seventy,3,Number,Noun
parade,3,Celebration Event,Noun
ninety,3,Number,Noun
opposite,2,Descriptive Position,Noun
inbox,2,Computer Icon,Noun
flip,2,Food Kitchen actions,Verb
fasten,2,Verb,Verb
certificate,2,Work and School Education,Noun
against,2,Descriptive Position,Noun
temple,1,Healthcare Body parts,Noun
fuzzy,1,Descriptive State,Noun
cigarette,1,Leisure General,Noun
